DATE,TIME,DOY,ASY-D,ASY-H,SYM-D,SYM-H
11/01/2020,56:00.0,11,9,17,-3,-15
11/01/2020,57:00.0,11,10,19,-3,-14
11/01/2020,58:00.0,11,11,22,-3,-14
11/01/2020,59:00.0,11,13,24,-2,-14
11/01/2020,00:00.0,11,14,25,-3,-13
11/01/2020,01:00.0,11,16,26,-3,-13
11/01/2020,02:00.0,11,17,26,-3,-13
11/01/2020,03:00.0,11,18,26,-3,-13
11/01/2020,04:00.0,11,19,27,-3,-13
11/01/2020,05:00.0,11,20,28,-3,-13
11/01/2020,06:00.0,11,21,28,-3,-12
11/01/2020,07:00.0,11,22,29,-3,-12
11/01/2020,08:00.0,11,23,32,-3,-12
11/01/2020,09:00.0,11,25,34,-3,-12
11/01/2020,10:00.0,11,25,37,-3,-11
11/01/2020,11:00.0,11,25,38,-3,-11
11/01/2020,12:00.0,11,26,38,-3,-11
11/01/2020,13:00.0,11,27,38,-3,-11
11/01/2020,14:00.0,11,27,40,-3,-11
11/01/2020,15:00.0,11,28,40,-3,-11
11/01/2020,16:00.0,11,28,40,-3,-11
11/01/2020,17:00.0,11,27,38,-3,-11
11/01/2020,18:00.0,11,28,38,-3,-11
11/01/2020,19:00.0,11,27,38,-3,-11
11/01/2020,20:00.0,11,27,38,-3,-11
11/01/2020,21:00.0,11,28,38,-3,-11
11/01/2020,22:00.0,11,29,38,-3,-11
11/01/2020,23:00.0,11,29,37,-3,-12
11/01/2020,24:00.0,11,29,37,-3,-12
11/01/2020,25:00.0,11,29,37,-3,-12
11/01/2020,26:00.0,11,30,37,-3,-12
11/01/2020,27:00.0,11,30,36,-3,-12
11/01/2020,28:00.0,11,29,36,-3,-12
11/01/2020,29:00.0,11,29,35,-3,-12
11/01/2020,30:00.0,11,29,34,-3,-12
11/01/2020,31:00.0,11,28,33,-3,-12
11/01/2020,32:00.0,11,27,32,-3,-12
11/01/2020,33:00.0,11,26,30,-3,-13
11/01/2020,34:00.0,11,25,29,-3,-12
11/01/2020,35:00.0,11,25,28,-3,-13
11/01/2020,36:00.0,11,22,27,-3,-13
11/01/2020,37:00.0,11,21,26,-3,-13
11/01/2020,38:00.0,11,21,26,-3,-13
11/01/2020,39:00.0,11,19,24,-2,-13
11/01/2020,40:00.0,11,18,24,-2,-13
11/01/2020,41:00.0,11,18,24,-2,-13
11/01/2020,42:00.0,11,16,22,-2,-14
11/01/2020,43:00.0,11,16,22,-2,-13
11/01/2020,44:00.0,11,15,22,-2,-14
11/01/2020,45:00.0,11,14,22,-2,-14
11/01/2020,46:00.0,11,13,22,-2,-14
11/01/2020,47:00.0,11,11,20,-2,-14
11/01/2020,48:00.0,11,11,20,-1,-14
11/01/2020,49:00.0,11,10,19,-1,-14
11/01/2020,50:00.0,11,9,19,-1,-14
11/01/2020,51:00.0,11,10,20,-1,-13
11/01/2020,52:00.0,11,10,18,-1,-14
11/01/2020,53:00.0,11,9,18,-1,-14
11/01/2020,54:00.0,11,10,18,-1,-14
11/01/2020,55:00.0,11,10,18,-1,-14
11/01/2020,56:00.0,11,10,17,-1,-14
11/01/2020,57:00.0,11,9,17,-1,-14
11/01/2020,58:00.0,11,9,16,-1,-13
11/01/2020,59:00.0,11,10,16,-1,-13
11/01/2020,00:00.0,11,10,16,-1,-13
11/01/2020,01:00.0,11,10,15,-1,-14
11/01/2020,02:00.0,11,10,15,-1,-14
11/01/2020,03:00.0,11,9,15,-1,-14
11/01/2020,04:00.0,11,10,15,-1,-14
11/01/2020,05:00.0,11,9,14,-1,-13
11/01/2020,06:00.0,11,9,13,-1,-14
11/01/2020,07:00.0,11,9,13,-1,-13
11/01/2020,08:00.0,11,8,13,-1,-13
11/01/2020,09:00.0,11,8,13,0,-14
11/01/2020,10:00.0,11,8,13,-1,-14
11/01/2020,11:00.0,11,8,13,0,-14
11/01/2020,12:00.0,11,8,12,0,-14
11/01/2020,13:00.0,11,8,12,0,-14
11/01/2020,14:00.0,11,7,12,0,-14
11/01/2020,15:00.0,11,7,12,0,-13
11/01/2020,16:00.0,11,6,12,0,-13
11/01/2020,17:00.0,11,6,12,0,-14
11/01/2020,18:00.0,11,6,12,0,-14
11/01/2020,19:00.0,11,7,12,0,-14
11/01/2020,20:00.0,11,6,13,0,-14
11/01/2020,21:00.0,11,7,13,0,-14
11/01/2020,22:00.0,11,7,13,0,-14
11/01/2020,23:00.0,11,7,12,0,-14
11/01/2020,24:00.0,11,7,12,0,-14
11/01/2020,25:00.0,11,7,12,0,-15
11/01/2020,26:00.0,11,7,12,0,-15
11/01/2020,27:00.0,11,7,11,0,-15
11/01/2020,28:00.0,11,7,11,0,-14
11/01/2020,29:00.0,11,8,11,0,-14
11/01/2020,30:00.0,11,8,11,0,-15
11/01/2020,31:00.0,11,8,11,0,-15
11/01/2020,32:00.0,11,8,11,0,-15
11/01/2020,33:00.0,11,9,11,0,-15
11/01/2020,34:00.0,11,9,11,0,-15
11/01/2020,35:00.0,11,9,11,0,-14
11/01/2020,36:00.0,11,9,10,0,-15
11/01/2020,37:00.0,11,9,9,0,-15
11/01/2020,38:00.0,11,9,9,0,-15
11/01/2020,39:00.0,11,9,9,0,-15
11/01/2020,40:00.0,11,9,9,0,-15
11/01/2020,41:00.0,11,9,9,0,-15
11/01/2020,42:00.0,11,9,9,0,-15
11/01/2020,43:00.0,11,10,9,1,-15
11/01/2020,44:00.0,11,10,9,0,-15
11/01/2020,45:00.0,11,10,9,1,-15
11/01/2020,46:00.0,11,10,9,0,-16
11/01/2020,47:00.0,11,10,9,1,-16
11/01/2020,48:00.0,11,10,9,0,-16
11/01/2020,49:00.0,11,11,10,0,-16
11/01/2020,50:00.0,11,12,10,0,-16
11/01/2020,51:00.0,11,11,10,0,-16
11/01/2020,52:00.0,11,11,10,0,-16
11/01/2020,53:00.0,11,11,11,0,-17
11/01/2020,54:00.0,11,11,11,0,-17
